Job ID,URL,Current HTTP Status,Exists in DB,Gate,Block Reason,Job Status,Desc Chars,Final Category,Reason
14,https://www.searchsarkarinaukri.com/jobs/14,410,YES,BLOCKED,needs_review,Closed,451,RESTORE_200,Blocked by needs_review; Closed; desc 451 chars
16,https://www.searchsarkarinaukri.com/jobs/16,410,YES,BLOCKED,needs_review,Closed,451,RESTORE_200,Blocked by needs_review; Closed; desc 451 chars
18,https://www.searchsarkarinaukri.com/jobs/18,410,NO,,,,0,REMOVE_410,Record absent from DB — keep 410 (Gone)
19,https://www.searchsarkarinaukri.com/jobs/19,410,YES,BLOCKED,needs_review,Closed,451,RESTORE_200,Blocked by needs_review; Closed; desc 451 chars
25,https://www.searchsarkarinaukri.com/jobs/25,410,YES,BLOCKED,needs_review,Closed,450,RESTORE_200,Blocked by needs_review; Closed; desc 450 chars
29,https://www.searchsarkarinaukri.com/jobs/29,410,NO,,,,0,REMOVE_410,Record absent from DB — keep 410 (Gone)
58,https://www.searchsarkarinaukri.com/jobs/58,410,NO,,,,0,REMOVE_410,Record absent from DB — keep 410 (Gone)
110,https://www.searchsarkarinaukri.com/jobs/110,410,NO,,,,0,REMOVE_410,Record absent from DB — keep 410 (Gone)
226,https://www.searchsarkarinaukri.com/jobs/226,410,NO,,,,0,REMOVE_410,Record absent from DB — keep 410 (Gone)
252,https://www.searchsarkarinaukri.com/jobs/252,410,NO,,,,0,REMOVE_410,Record absent from DB — keep 410 (Gone)
253,https://www.searchsarkarinaukri.com/jobs/253,410,NO,,,,0,REMOVE_410,Record absent from DB — keep 410 (Gone)
276,https://www.searchsarkarinaukri.com/jobs/276,410,NO,,,,0,REMOVE_410,Record absent from DB — keep 410 (Gone)
282,https://www.searchsarkarinaukri.com/jobs/282,410,NO,,,,0,REMOVE_410,Record absent from DB — keep 410 (Gone)
297,https://www.searchsarkarinaukri.com/jobs/297,410,YES,BLOCKED,needs_review,Closed,473,RESTORE_200,Blocked by needs_review; Closed; desc 473 chars
304,https://www.searchsarkarinaukri.com/jobs/304,410,NO,,,,0,REMOVE_410,Record absent from DB — keep 410 (Gone)
313,https://www.searchsarkarinaukri.com/jobs/313,410,YES,BLOCKED,needs_review,Closed,461,RESTORE_200,Blocked by needs_review; Closed; desc 461 chars
317,https://www.searchsarkarinaukri.com/jobs/317,410,YES,BLOCKED,needs_review,Closed,463,RESTORE_200,Blocked by needs_review; Closed; desc 463 chars
832,https://www.searchsarkarinaukri.com/jobs/832,410,NO,,,,0,REMOVE_410,Record absent from DB — keep 410 (Gone)
835,https://www.searchsarkarinaukri.com/jobs/835,410,NO,,,,0,REMOVE_410,Record absent from DB — keep 410 (Gone)
839,https://www.searchsarkarinaukri.com/jobs/839,410,NO,,,,0,REMOVE_410,Record absent from DB — keep 410 (Gone)
847,https://www.searchsarkarinaukri.com/jobs/847,410,YES,BLOCKED,needs_review,Closed,533,RESTORE_200,Blocked by needs_review; Closed; desc 533 chars
854,https://www.searchsarkarinaukri.com/jobs/854,410,YES,BLOCKED,needs_review,Closed,495,RESTORE_200,Blocked by needs_review; Closed; desc 495 chars
855,https://www.searchsarkarinaukri.com/jobs/855,410,YES,BLOCKED,needs_review,Closed,509,RESTORE_200,Blocked by needs_review; Closed; desc 509 chars
856,https://www.searchsarkarinaukri.com/jobs/856,410,YES,BLOCKED,needs_review,Closed,459,RESTORE_200,Blocked by needs_review; Closed; desc 459 chars
857,https://www.searchsarkarinaukri.com/jobs/857,410,YES,BLOCKED,needs_review,Closed,477,RESTORE_200,Blocked by needs_review; Closed; desc 477 chars
858,https://www.searchsarkarinaukri.com/jobs/858,410,YES,BLOCKED,needs_review,Closed,490,RESTORE_200,Blocked by needs_review; Closed; desc 490 chars
860,https://www.searchsarkarinaukri.com/jobs/860,410,YES,BLOCKED,needs_review,Closed,470,RESTORE_200,Blocked by needs_review; Closed; desc 470 chars
862,https://www.searchsarkarinaukri.com/jobs/862,410,YES,BLOCKED,needs_review,Closed,573,RESTORE_200,Blocked by needs_review; Closed; desc 573 chars
863,https://www.searchsarkarinaukri.com/jobs/863,410,YES,BLOCKED,needs_review,Closed,571,RESTORE_200,Blocked by needs_review; Closed; desc 571 chars
875,https://www.searchsarkarinaukri.com/jobs/875,410,YES,BLOCKED,needs_review,Closed,431,RESTORE_200,Blocked by needs_review; Closed; desc 431 chars
880,https://www.searchsarkarinaukri.com/jobs/880,410,YES,BLOCKED,needs_review,Closed,512,RESTORE_200,Blocked by needs_review; Closed; desc 512 chars
883,https://www.searchsarkarinaukri.com/jobs/883,410,YES,BLOCKED,needs_review,Closed,571,RESTORE_200,Blocked by needs_review; Closed; desc 571 chars
887,https://www.searchsarkarinaukri.com/jobs/887,410,YES,BLOCKED,needs_review,Closed,490,RESTORE_200,Blocked by needs_review; Closed; desc 490 chars
895,https://www.searchsarkarinaukri.com/jobs/895,410,YES,BLOCKED,needs_review,Closed,534,RESTORE_200,Blocked by needs_review; Closed; desc 534 chars
898,https://www.searchsarkarinaukri.com/jobs/898,410,YES,BLOCKED,needs_review,Closed,526,RESTORE_200,Blocked by needs_review; Closed; desc 526 chars
973,https://www.searchsarkarinaukri.com/jobs/973,301,YES,PASS,,Closed,524,REDIRECT_301,"Resolves to canonical slug — already fixed, await recrawl"
974,https://www.searchsarkarinaukri.com/jobs/974,410,YES,BLOCKED,not_auto_published,Closed,591,RESTORE_200,Blocked by not_auto_published; Closed; desc 591 chars
975,https://www.searchsarkarinaukri.com/jobs/975,410,YES,BLOCKED,not_auto_published,Closed,512,RESTORE_200,Blocked by not_auto_published; Closed; desc 512 chars
977,https://www.searchsarkarinaukri.com/jobs/977,301,YES,PASS,,Closed,456,REDIRECT_301,"Resolves to canonical slug — already fixed, await recrawl"
978,https://www.searchsarkarinaukri.com/jobs/978,301,YES,PASS,,Closed,442,REDIRECT_301,"Resolves to canonical slug — already fixed, await recrawl"
980,https://www.searchsarkarinaukri.com/jobs/980,301,YES,PASS,,Closed,440,REDIRECT_301,"Resolves to canonical slug — already fixed, await recrawl"
981,https://www.searchsarkarinaukri.com/jobs/981,301,YES,PASS,,Closed,481,REDIRECT_301,"Resolves to canonical slug — already fixed, await recrawl"
983,https://www.searchsarkarinaukri.com/jobs/983,410,YES,BLOCKED,not_auto_published,Closed,496,RESTORE_200,Blocked by not_auto_published; Closed; desc 496 chars
984,https://www.searchsarkarinaukri.com/jobs/984,410,YES,BLOCKED,not_auto_published,Closed,463,RESTORE_200,Blocked by not_auto_published; Closed; desc 463 chars
986,https://www.searchsarkarinaukri.com/jobs/986,410,YES,BLOCKED,not_auto_published,Closed,473,RESTORE_200,Blocked by not_auto_published; Closed; desc 473 chars
988,https://www.searchsarkarinaukri.com/jobs/988,410,YES,BLOCKED,not_auto_published,Closed,488,RESTORE_200,Blocked by not_auto_published; Closed; desc 488 chars
989,https://www.searchsarkarinaukri.com/jobs/989,410,YES,BLOCKED,not_auto_published,Closed,433,RESTORE_200,Blocked by not_auto_published; Closed; desc 433 chars
990,https://www.searchsarkarinaukri.com/jobs/990,410,YES,BLOCKED,not_auto_published,Closed,505,RESTORE_200,Blocked by not_auto_published; Closed; desc 505 chars
991,https://www.searchsarkarinaukri.com/jobs/991,410,YES,BLOCKED,not_auto_published,Closed,491,RESTORE_200,Blocked by not_auto_published; Closed; desc 491 chars
993,https://www.searchsarkarinaukri.com/jobs/993,410,YES,BLOCKED,not_auto_published,Closed,511,RESTORE_200,Blocked by not_auto_published; Closed; desc 511 chars
994,https://www.searchsarkarinaukri.com/jobs/994,410,YES,BLOCKED,not_auto_published,Closed,465,RESTORE_200,Blocked by not_auto_published; Closed; desc 465 chars
995,https://www.searchsarkarinaukri.com/jobs/995,410,YES,BLOCKED,not_auto_published,Closed,558,RESTORE_200,Blocked by not_auto_published; Closed; desc 558 chars
996,https://www.searchsarkarinaukri.com/jobs/996,301,YES,PASS,,Closed,472,REDIRECT_301,"Resolves to canonical slug — already fixed, await recrawl"
997,https://www.searchsarkarinaukri.com/jobs/997,301,YES,PASS,,Closed,507,REDIRECT_301,"Resolves to canonical slug — already fixed, await recrawl"
998,https://www.searchsarkarinaukri.com/jobs/998,410,YES,BLOCKED,not_auto_published,Closed,475,RESTORE_200,Blocked by not_auto_published; Closed; desc 475 chars
999,https://www.searchsarkarinaukri.com/jobs/999,410,YES,BLOCKED,not_auto_published,Closed,469,RESTORE_200,Blocked by not_auto_published; Closed; desc 469 chars
1015,https://www.searchsarkarinaukri.com/jobs/1015,301,YES,PASS,,Closed,471,REDIRECT_301,"Resolves to canonical slug — already fixed, await recrawl"
1016,https://www.searchsarkarinaukri.com/jobs/1016,301,YES,PASS,,Closed,485,REDIRECT_301,"Resolves to canonical slug — already fixed, await recrawl"
1017,https://www.searchsarkarinaukri.com/jobs/1017,301,YES,PASS,,Closed,470,REDIRECT_301,"Resolves to canonical slug — already fixed, await recrawl"
1018,https://www.searchsarkarinaukri.com/jobs/1018,301,YES,PASS,,Closed,496,REDIRECT_301,"Resolves to canonical slug — already fixed, await recrawl"
1019,https://www.searchsarkarinaukri.com/jobs/1019,301,YES,PASS,,Closed,467,REDIRECT_301,"Resolves to canonical slug — already fixed, await recrawl"
1021,https://www.searchsarkarinaukri.com/jobs/1021,301,YES,PASS,,Closed,499,REDIRECT_301,"Resolves to canonical slug — already fixed, await recrawl"
1022,https://www.searchsarkarinaukri.com/jobs/1022,301,YES,PASS,,Closed,467,REDIRECT_301,"Resolves to canonical slug — already fixed, await recrawl"
1025,https://www.searchsarkarinaukri.com/jobs/1025,301,YES,PASS,,Closed,490,REDIRECT_301,"Resolves to canonical slug — already fixed, await recrawl"
1026,https://www.searchsarkarinaukri.com/jobs/1026,301,YES,PASS,,Closed,466,REDIRECT_301,"Resolves to canonical slug — already fixed, await recrawl"
1028,https://www.searchsarkarinaukri.com/jobs/1028,301,YES,PASS,,Closed,473,REDIRECT_301,"Resolves to canonical slug — already fixed, await recrawl"
1030,https://www.searchsarkarinaukri.com/jobs/1030,301,YES,PASS,,Closed,469,REDIRECT_301,"Resolves to canonical slug — already fixed, await recrawl"
1031,https://www.searchsarkarinaukri.com/jobs/1031,301,YES,PASS,,Closed,460,REDIRECT_301,"Resolves to canonical slug — already fixed, await recrawl"
1032,https://www.searchsarkarinaukri.com/jobs/1032,301,YES,PASS,,Closed,509,REDIRECT_301,"Resolves to canonical slug — already fixed, await recrawl"
1033,https://www.searchsarkarinaukri.com/jobs/1033,301,YES,PASS,,Open,487,REDIRECT_301,"Resolves to canonical slug — already fixed, await recrawl"
1035,https://www.searchsarkarinaukri.com/jobs/1035,410,YES,BLOCKED,needs_review,Open,489,RESTORE_200,Blocked by needs_review; Open; desc 489 chars
1036,https://www.searchsarkarinaukri.com/jobs/1036,410,YES,BLOCKED,needs_review,Closed,502,RESTORE_200,Blocked by needs_review; Closed; desc 502 chars
1037,https://www.searchsarkarinaukri.com/jobs/1037,301,YES,PASS,,Closed,464,REDIRECT_301,"Resolves to canonical slug — already fixed, await recrawl"
1038,https://www.searchsarkarinaukri.com/jobs/1038,301,YES,PASS,,Open,508,REDIRECT_301,"Resolves to canonical slug — already fixed, await recrawl"
1040,https://www.searchsarkarinaukri.com/jobs/1040,410,YES,BLOCKED,needs_review,Closed,477,RESTORE_200,Blocked by needs_review; Closed; desc 477 chars
1041,https://www.searchsarkarinaukri.com/jobs/1041,301,YES,PASS,,Open,509,REDIRECT_301,"Resolves to canonical slug — already fixed, await recrawl"
1042,https://www.searchsarkarinaukri.com/jobs/1042,301,YES,PASS,,Closed,493,REDIRECT_301,"Resolves to canonical slug — already fixed, await recrawl"
