URL,Status Before,Words Before,Noindex Before,Status After,Words After,Outcome
https://www.searchsarkarinaukri.com/10th-pass-jobs-in-andhra-pradesh,301,0,no,301,0,Consolidated via 301 (zero-match or duplicate)
https://www.searchsarkarinaukri.com/10th-pass-jobs-in-aurangabad,301,0,no,301,0,Consolidated via 301 (zero-match or duplicate)
https://www.searchsarkarinaukri.com/10th-pass-jobs-in-bhubaneswar,301,0,no,301,0,Consolidated via 301 (zero-match or duplicate)
https://www.searchsarkarinaukri.com/10th-pass-jobs-in-chandigarh,200,480,no,200,480,"Verified indexable, no change needed"
https://www.searchsarkarinaukri.com/10th-pass-jobs-in-delhi,200,513,no,200,513,"Verified indexable, no change needed"
https://www.searchsarkarinaukri.com/10th-pass-jobs-in-kanpur,301,0,no,301,0,Consolidated via 301 (zero-match or duplicate)
https://www.searchsarkarinaukri.com/10th-pass-jobs-in-mumbai,200,560,no,200,560,"Verified indexable, no change needed"
https://www.searchsarkarinaukri.com/10th-pass-jobs-in-nagpur,301,0,no,301,0,Consolidated via 301 (zero-match or duplicate)
https://www.searchsarkarinaukri.com/10th-pass-jobs-in-noida,301,0,no,301,0,Consolidated via 301 (zero-match or duplicate)
https://www.searchsarkarinaukri.com/10th-pass-jobs-in-patna,301,0,no,301,0,Consolidated via 301 (zero-match or duplicate)
https://www.searchsarkarinaukri.com/10th-pass-jobs-in-pune,200,381,no,200,381,"Verified indexable, no change needed"
https://www.searchsarkarinaukri.com/10th-pass-jobs-in-surat,301,0,no,301,0,Consolidated via 301 (zero-match or duplicate)
https://www.searchsarkarinaukri.com/10th-pass-jobs-in-uttar-pradesh,200,490,no,200,490,"Verified indexable, no change needed"
https://www.searchsarkarinaukri.com/12th-pass-jobs-in-bhubaneswar,301,0,no,301,0,Consolidated via 301 (zero-match or duplicate)
https://www.searchsarkarinaukri.com/12th-pass-jobs-in-kanpur,200,424,no,200,424,"Verified indexable, no change needed"
https://www.searchsarkarinaukri.com/12th-pass-jobs-in-kerala,301,0,no,301,0,Consolidated via 301 (zero-match or duplicate)
https://www.searchsarkarinaukri.com/12th-pass-jobs-in-kolkata,200,382,no,200,382,"Verified indexable, no change needed"
https://www.searchsarkarinaukri.com/12th-pass-jobs-in-lucknow,200,506,no,200,506,"Verified indexable, no change needed"
https://www.searchsarkarinaukri.com/12th-pass-jobs-in-punjab,200,703,no,200,703,"Verified indexable, no change needed"
https://www.searchsarkarinaukri.com/12th-pass-jobs-in-surat,301,0,no,301,0,Consolidated via 301 (zero-match or duplicate)
https://www.searchsarkarinaukri.com/department/bsf,200,199,yes,200,199,Intentionally noindex (thin-content guard)
https://www.searchsarkarinaukri.com/department/crpf,200,206,yes,200,206,Intentionally noindex (thin-content guard)
https://www.searchsarkarinaukri.com/department/indian-navy,200,195,yes,200,195,Intentionally noindex (thin-content guard)
https://www.searchsarkarinaukri.com/department/maharashtra-police,200,420,no,200,420,"Verified indexable, no change needed"
https://www.searchsarkarinaukri.com/department/upsssc,200,203,yes,200,203,Intentionally noindex (thin-content guard)
https://www.searchsarkarinaukri.com/diploma-government-jobs,200,1080,no,200,1080,"Verified indexable, no change needed"
https://www.searchsarkarinaukri.com/diploma-jobs-in-bhubaneswar,301,0,no,301,0,Consolidated via 301 (zero-match or duplicate)
https://www.searchsarkarinaukri.com/diploma-jobs-in-bihar,200,372,no,200,372,"Verified indexable, no change needed"
https://www.searchsarkarinaukri.com/diploma-jobs-in-chandigarh,200,504,no,200,504,"Verified indexable, no change needed"
https://www.searchsarkarinaukri.com/diploma-jobs-in-chennai,301,0,no,301,0,Consolidated via 301 (zero-match or duplicate)
https://www.searchsarkarinaukri.com/diploma-jobs-in-hyderabad,301,0,no,301,0,Consolidated via 301 (zero-match or duplicate)
https://www.searchsarkarinaukri.com/diploma-jobs-in-kanpur,301,0,no,301,0,Consolidated via 301 (zero-match or duplicate)
