"target_url","status","example_source_url","example_anchor_text"
"https://www.searchsarkarinaukri.com/jobs/icmr-nirwoh-senior-consultant-recruitment-2026-walk-in-for-1-post--5025","410","https://www.searchsarkarinaukri.com/jobs?category=health","ICMR NIRWoH Senior Consultant Recruitment 2026 – Walk-in for 1 Post"
"https://www.searchsarkarinaukri.com/jobs/bombay-high-court-cook-recruitment-2026-apply-offline-for-18-posts--5024","410","https://www.searchsarkarinaukri.com/districts/aurangabad","Bombay High Court Cook Recruitment 2026 – Apply Offline for 18 Posts"
"https://www.searchsarkarinaukri.com/jobs/esic-senior-resident-recruitment-2026-walk-in-for-5-posts--5023","410","https://www.searchsarkarinaukri.com/jobs?category=health","ESIC Senior Resident Recruitment 2026 – Walk-in for 5 Posts"
"https://www.searchsarkarinaukri.com/jobs/esic-assistant-professor-recruitment-2026-walk-in-for-7-posts--5022","410","https://www.searchsarkarinaukri.com/jobs?category=health","ESIC Assistant Professor Recruitment 2026 – Walk-in for 7 Posts"
"https://www.searchsarkarinaukri.com/jobs/esic-associate-professor-recruitment-2026-walk-in-for-11-posts--5021","410","https://www.searchsarkarinaukri.com/jobs?category=health","ESIC Associate Professor Recruitment 2026 – Walk-in for 11 Posts"
"https://www.searchsarkarinaukri.com/jobs/esic-professor-recruitment-2026-walk-in-for-6-posts--5020","410","https://www.searchsarkarinaukri.com/jobs?category=health","ESIC Professor Recruitment 2026 – Walk-in for 6 Posts"
"https://www.searchsarkarinaukri.com/jobs/mahatransco-electrician-apprentice-recruitment-2026-apply-online-for-68-posts--5019","410","https://www.searchsarkarinaukri.com/jobs","MAHATRANSCO Electrician Apprentice Recruitment 2026 – Apply Online for 68 Posts"
"https://www.searchsarkarinaukri.com/jobs/csir-neeri-project-associate-recruitment-2026-apply-online-for-2-posts--5016","410","https://www.searchsarkarinaukri.com/districts/nagpur","CSIR NEERI Project Associate Recruitment 2026 – Apply Online for 2 Posts"
"https://www.searchsarkarinaukri.com/jobs/recruitment-notification-brihan-mumbai-mahanagarpalika-mcgm-hiring-17-staff-nurse-x-ray-technician-2026--4998","410","https://www.searchsarkarinaukri.com/districts/mumbai-suburban/health","Recruitment Notification: Brihan Mumbai Mahanagarpalika (MCGM) hiring 17 Staff Nurse, X-ray Technician 2026"
"https://www.searchsarkarinaukri.com/assessment","404","https://www.searchsarkarinaukri.com/daily-assessment","Start Today's Free Assessment"
"https://www.searchsarkarinaukri.com/jobs-in-amravati","404","https://www.searchsarkarinaukri.com/jobs/shivaji-education-society-amravati-shivaji-education-society-amravati-2026--1955","amravati sarkari naukri"
"https://www.searchsarkarinaukri.com/jobs-in-wardha","404","https://www.searchsarkarinaukri.com/jobs/mahatma-gandhi-institute-of-medical-sciences-sevagram-mahatma-gandhi-institute-of-medical-sciences-2--1869","wardha sarkari naukri"
"https://www.searchsarkarinaukri.com/jobs-in-all-districts","404","https://www.searchsarkarinaukri.com/jobs/csir-national-environmental-engineering-research-institute-csir-neeri-recruitment-2026-1-project-202--1672","all districts sarkari naukri"
"https://www.searchsarkarinaukri.com/districts/any-branch/office-of-nainital-bank","404","https://www.searchsarkarinaukri.com/jobs/nainital-bank-hr-officer-recruitment-2026-apply-online-for-3-posts--4990","All government jobs in any branch/office of nainital bank"
"https://www.searchsarkarinaukri.com/jobs-in-any-branch/office-of-nainital-bank","404","https://www.searchsarkarinaukri.com/jobs/nainital-bank-hr-officer-recruitment-2026-apply-online-for-3-posts--4990","any branch/office of nainital bank sarkari naukri"
"https://www.searchsarkarinaukri.com/districts/various-locations-across-india","404","https://www.searchsarkarinaukri.com/jobs/powergrid-diploma-civil-apprentice-recruitment-2026-apply-online-for-35-posts--4985","All government jobs in various locations across india"
"https://www.searchsarkarinaukri.com/jobs-in-various-locations-across-india","404","https://www.searchsarkarinaukri.com/jobs/powergrid-diploma-civil-apprentice-recruitment-2026-apply-online-for-35-posts--4985","various locations across india sarkari naukri"
"https://www.searchsarkarinaukri.com/districts/bengaluru","404","https://www.searchsarkarinaukri.com/jobs/indian-air-force-mts-recruitment-2026-6-posts--2901","All government jobs in bengaluru"
"https://www.searchsarkarinaukri.com/jobs-in-bengaluru","404","https://www.searchsarkarinaukri.com/jobs/indian-air-force-mts-recruitment-2026-6-posts--2901","bengaluru sarkari naukri"
"https://www.searchsarkarinaukri.com/districts/valiamala","404","https://www.searchsarkarinaukri.com/jobs/isro-lpsc-technical-assistant-chemical-recruitment-2026-apply-online--4978","All government jobs in valiamala"
"https://www.searchsarkarinaukri.com/jobs-in-valiamala","404","https://www.searchsarkarinaukri.com/jobs/isro-lpsc-technical-assistant-chemical-recruitment-2026-apply-online--4978","valiamala sarkari naukri"
"https://www.searchsarkarinaukri.com/districts/gorakhpur","404","https://www.searchsarkarinaukri.com/jobs/hurl-engineer-senior-engineer-o-u-recruitment-2026-apply-online--4960","All government jobs in gorakhpur"
"https://www.searchsarkarinaukri.com/jobs-in-gorakhpur","404","https://www.searchsarkarinaukri.com/jobs/hurl-engineer-senior-engineer-o-u-recruitment-2026-apply-online--4960","gorakhpur sarkari naukri"
"https://www.searchsarkarinaukri.com/jobs-in-chhatrapati-sambhajinagar","404","https://www.searchsarkarinaukri.com/jobs/ex-serviceman-contributory-health-scheme-echs-chhatrapati-sambhajinagar-recruitment-notification-ex--1773","chhatrapati sambhajinagar sarkari naukri"
"https://www.searchsarkarinaukri.com/jobs-in-dhule","404","https://www.searchsarkarinaukri.com/jobs/job-2026--1567","dhule sarkari naukri"
