"url_a","url_b","page_type_a","page_type_b","jaccard_similarity_percent","words_a","words_b"
"https://www.searchsarkarinaukri.com/engineer-jobs-in-mumbai","https://www.searchsarkarinaukri.com/engineering-jobs-in-mumbai","other","other","98.29","811","813"
"https://www.searchsarkarinaukri.com/jobs/all-india-institute-of-medical-sciences-nagpur-all-india-institute-of-medical-sciences-2026--3521","https://www.searchsarkarinaukri.com/jobs/all-india-institute-of-medical-sciences-nagpur-all-india-institute-of-medical-sciences-2026--3659","job-listing","job-listing","96.45","357","357"
"https://www.searchsarkarinaukri.com/engineer-jobs-in-delhi","https://www.searchsarkarinaukri.com/engineering-jobs-in-delhi","other","other","96.23","542","544"
"https://www.searchsarkarinaukri.com/jobs/sgbau-amravati-sgbau-amravati-2026--4840","https://www.searchsarkarinaukri.com/jobs/sgbau-amravati-sgbau-amravati-2026--5012","job-listing","job-listing","96.20","277","277"
"https://www.searchsarkarinaukri.com/jobs/all-india-institute-of-medical-sciences-nagpur-all-india-institute-of-medical-sciences-2026--4323","https://www.searchsarkarinaukri.com/jobs/all-india-institute-of-medical-sciences-nagpur-all-india-institute-of-medical-sciences-2026--4433","job-listing","job-listing","96.17","316","316"
"https://www.searchsarkarinaukri.com/jobs/all-india-institute-of-medical-sciences-nagpur-all-india-institute-of-medical-sciences-2026--4323","https://www.searchsarkarinaukri.com/jobs/all-india-institute-of-medical-sciences-nagpur-all-india-institute-of-medical-sciences-2026--4534","job-listing","job-listing","96.17","316","316"
"https://www.searchsarkarinaukri.com/jobs/all-india-institute-of-medical-sciences-nagpur-all-india-institute-of-medical-sciences-2026--4433","https://www.searchsarkarinaukri.com/jobs/all-india-institute-of-medical-sciences-nagpur-all-india-institute-of-medical-sciences-2026--4534","job-listing","job-listing","96.17","316","316"
"https://www.searchsarkarinaukri.com/jobs/all-india-institute-of-medical-sciences-nagpur-all-india-institute-of-medical-sciences-2026--4323","https://www.searchsarkarinaukri.com/jobs/all-india-institute-of-medical-sciences-nagpur-all-india-institute-of-medical-sciences-2026--4584","job-listing","job-listing","96.17","316","316"
"https://www.searchsarkarinaukri.com/jobs/all-india-institute-of-medical-sciences-nagpur-all-india-institute-of-medical-sciences-2026--4433","https://www.searchsarkarinaukri.com/jobs/all-india-institute-of-medical-sciences-nagpur-all-india-institute-of-medical-sciences-2026--4584","job-listing","job-listing","96.17","316","316"
"https://www.searchsarkarinaukri.com/jobs/all-india-institute-of-medical-sciences-nagpur-all-india-institute-of-medical-sciences-2026--4534","https://www.searchsarkarinaukri.com/jobs/all-india-institute-of-medical-sciences-nagpur-all-india-institute-of-medical-sciences-2026--4584","job-listing","job-listing","96.17","316","316"
"https://www.searchsarkarinaukri.com/jobs/airports-authority-of-india-airports-authority-of-india-2026--3473","https://www.searchsarkarinaukri.com/jobs/airports-authority-of-india-airports-authority-of-india-2026--3787","job-listing","job-listing","96.15","309","309"
"https://www.searchsarkarinaukri.com/jobs/airports-authority-of-india-airports-authority-of-india-2026--3787","https://www.searchsarkarinaukri.com/jobs/airports-authority-of-india-airports-authority-of-india-2026--4383","job-listing","job-listing","96.15","309","309"
"https://www.searchsarkarinaukri.com/jobs/airports-authority-of-india-airports-authority-of-india-2026--3473","https://www.searchsarkarinaukri.com/jobs/airports-authority-of-india-airports-authority-of-india-2026--4383","job-listing","job-listing","96.15","309","309"
"https://www.searchsarkarinaukri.com/jobs/airports-authority-of-india-airports-authority-of-india-2026--4671","https://www.searchsarkarinaukri.com/jobs/airports-authority-of-india-airports-authority-of-india-2026--4529","job-listing","job-listing","96.15","309","309"
"https://www.searchsarkarinaukri.com/jobs/indian-council-of-agricultural-research-young-professional-ii-2026--2050","https://www.searchsarkarinaukri.com/jobs/indian-council-of-agricultural-research-young-professional-ii-2026--2051","job-listing","job-listing","96.10","232","233"
"https://www.searchsarkarinaukri.com/jobs/defence-institute-of-advanced-technology-pune-defence-institute-of-advanced-2026--2926","https://www.searchsarkarinaukri.com/jobs/defence-institute-of-advanced-technology-pune-defence-institute-of-advanced-2026--2989","job-listing","job-listing","96.08","271","271"
"https://www.searchsarkarinaukri.com/jobs/vnit-nagpur-vnit-nagpur-2026--2791","https://www.searchsarkarinaukri.com/jobs/vnit-nagpur-vnit-nagpur-2026--3463","job-listing","job-listing","96.06","260","260"
"https://www.searchsarkarinaukri.com/jobs/kendriya-vidyalaya-pune-kendriya-vidyalaya-pune-2026--2271","https://www.searchsarkarinaukri.com/jobs/kendriya-vidyalaya-pune-kendriya-vidyalaya-pune-2026--1729","job-listing","job-listing","96.03","263","263"
"https://www.searchsarkarinaukri.com/jobs/tiss-mumbai-tiss-mumbai-2026--1837","https://www.searchsarkarinaukri.com/jobs/tiss-mumbai-tiss-mumbai-2026--1913","job-listing","job-listing","96.03","262","262"
"https://www.searchsarkarinaukri.com/jobs/tiss-mumbai-tiss-mumbai-2026--2029","https://www.searchsarkarinaukri.com/jobs/tiss-mumbai-tiss-mumbai-2026--2263","job-listing","job-listing","96.03","262","262"
"https://www.searchsarkarinaukri.com/jobs/tiss-mumbai-tiss-mumbai-2026--3403","https://www.searchsarkarinaukri.com/jobs/tiss-mumbai-tiss-mumbai-2026--4264","job-listing","job-listing","96.03","262","262"
"https://www.searchsarkarinaukri.com/jobs/tiss-mumbai-tiss-mumbai-2026--3403","https://www.searchsarkarinaukri.com/jobs/tiss-mumbai-tiss-mumbai-2026--3910","job-listing","job-listing","96.03","262","262"
"https://www.searchsarkarinaukri.com/jobs/tiss-mumbai-tiss-mumbai-2026--4264","https://www.searchsarkarinaukri.com/jobs/tiss-mumbai-tiss-mumbai-2026--3910","job-listing","job-listing","96.03","262","262"
"https://www.searchsarkarinaukri.com/jobs/sangli-urban-co-op-bank-sangli-urban-co-op-bank-2026--2541","https://www.searchsarkarinaukri.com/jobs/sangli-urban-co-op-bank-sangli-urban-co-op-bank-2026--2593","job-listing","job-listing","96.00","255","255"
"https://www.searchsarkarinaukri.com/jobs/army-institute-of-technology-pune-army-institute-of-technology-pune-2026--2749","https://www.searchsarkarinaukri.com/jobs/army-institute-of-technology-pune-army-institute-of-technology-pune-2026--3469","job-listing","job-listing","95.97","255","255"
"https://www.searchsarkarinaukri.com/jobs/rcsm-agriculture-college-kolhapur-rcsm-agriculture-college-kolhapur-2026--2875","https://www.searchsarkarinaukri.com/jobs/rcsm-agriculture-college-kolhapur-rcsm-agriculture-college-kolhapur-2026--2501","job-listing","job-listing","95.95","250","250"
"https://www.searchsarkarinaukri.com/jobs/iips-mumbai-iips-mumbai-2026--1715","https://www.searchsarkarinaukri.com/jobs/iips-mumbai-iips-mumbai-2026--2243","job-listing","job-listing","95.88","242","242"
