"name","ua","url","status","location","ttfb_ms","total_ms","bytes","content_type","content_encoding","cache_control","x_robots_tag","x_prerender","hsts","csp","x_content_type_options","x_frame_options","referrer_policy","server","alt_svc"
"home","standard","https://www.searchsarkarinaukri.com/","200","","110","114","18706","text/html; charset=utf-8","gzip","","","","max-age=31536000; includeSubDomains","","nosniff","SAMEORIGIN","strict-origin-when-cross-origin","nginx/1.24.0 (Ubuntu)",""
"home","googlebot","https://www.searchsarkarinaukri.com/","200","","36","38","39824","text/html; charset=utf-8","gzip","public, max-age=600, s-maxage=600, stale-while-revalidate=86400","","1","max-age=31536000; includeSubDomains, max-age=31536000; includeSubDomains","default-src 'self';base-uri 'self';font-src 'self' https: data:;form-action 'self';frame-ancestors 'self';frame-src 'self' https://googleads.g.doubleclick.net https://tpc.googlesyndication.com;img-src 'self' data: https:;object-src 'none';script-src 'self' https://pagead2.googlesyndication.com https://googleads.g.doubleclick.net https://tpc.googlesyndication.com;script-src-attr 'none';style-src 'self' https: 'unsafe-inline';upgrade-insecure-requests","nosniff, nosniff","SAMEORIGIN, SAMEORIGIN","no-referrer, strict-origin-when-cross-origin","nginx/1.24.0 (Ubuntu)",""
"home","googlebot-desktop","https://www.searchsarkarinaukri.com/","200","","35","35","39824","text/html; charset=utf-8","gzip","public, max-age=600, s-maxage=600, stale-while-revalidate=86400","","1","max-age=31536000; includeSubDomains, max-age=31536000; includeSubDomains","default-src 'self';base-uri 'self';font-src 'self' https: data:;form-action 'self';frame-ancestors 'self';frame-src 'self' https://googleads.g.doubleclick.net https://tpc.googlesyndication.com;img-src 'self' data: https:;object-src 'none';script-src 'self' https://pagead2.googlesyndication.com https://googleads.g.doubleclick.net https://tpc.googlesyndication.com;script-src-attr 'none';style-src 'self' https: 'unsafe-inline';upgrade-insecure-requests","nosniff, nosniff","SAMEORIGIN, SAMEORIGIN","no-referrer, strict-origin-when-cross-origin","nginx/1.24.0 (Ubuntu)",""
"non-www-home","standard","https://searchsarkarinaukri.com/","301","https://www.searchsarkarinaukri.com/","56","56","178","text/html","","","","","","","","","","nginx/1.24.0 (Ubuntu)",""
"non-www-home","googlebot","https://searchsarkarinaukri.com/","301","https://www.searchsarkarinaukri.com/","49","49","178","text/html","","","","","","","","","","nginx/1.24.0 (Ubuntu)",""
"non-www-home","googlebot-desktop","https://searchsarkarinaukri.com/","301","https://www.searchsarkarinaukri.com/","16","16","178","text/html","","","","","","","","","","nginx/1.24.0 (Ubuntu)",""
"http-home","standard","http://www.searchsarkarinaukri.com/","301","https://www.searchsarkarinaukri.com/","31","31","178","text/html","","","","","","","","","","nginx/1.24.0 (Ubuntu)",""
"http-home","googlebot","http://www.searchsarkarinaukri.com/","301","https://www.searchsarkarinaukri.com/","32","32","178","text/html","","","","","","","","","","nginx/1.24.0 (Ubuntu)",""
"http-home","googlebot-desktop","http://www.searchsarkarinaukri.com/","301","https://www.searchsarkarinaukri.com/","16","16","178","text/html","","","","","","","","","","nginx/1.24.0 (Ubuntu)",""
"jobs","standard","https://www.searchsarkarinaukri.com/jobs","200","","17","18","18706","text/html; charset=utf-8","gzip","","","","max-age=31536000; includeSubDomains","","nosniff","SAMEORIGIN","strict-origin-when-cross-origin","nginx/1.24.0 (Ubuntu)",""
