"schema_types","count"
"Organization | ImageObject | PostalAddress | AdministrativeArea","4820"
"WebSite | SearchAction | EntryPoint","4820"
"BreadcrumbList | ListItem","4820"
"JobPosting | PropertyValue | Organization | Place | PostalAddress | EducationalOccupationalCredential | Country","3411"
"FAQPage | Question | Answer","3375"
"ItemList","428"
"ItemList | ListItem","246"
"Article | Organization | ImageObject","82"
"BlogPosting | ImageObject | Person | Organization | WebPage","67"
"Person | Organization","67"
"ImageObject","67"
"JobPosting | PropertyValue | Organization | Place | PostalAddress | Country","53"
"NewsArticle | Organization | ImageObject | WebPage","50"
"VideoObject | Organization","30"
"Organization","15"
"CollectionPage | ItemList | ListItem","9"
"Quiz","2"
"WebSite | SearchAction","1"
