"page_type","in_sitemap","crawlable_linked","indexable_200","missing_from_sitemap","broken_in_sitemap"
"job-listing","3475","582","3464","0","11"
"other","138","26","140","2","0"
"location","80","520","498","418","0"
"blog","68","512","519","0","0"
"results","46","1","46","0","0"
"admit-card","38","1","38","0","0"
"department","12","5","12","0","0"
"qualification","5","5","5","0","0"
"static-policy","4","2","4","0","0"
"feature-page","3","2","3","0","0"
"homepage","1","1","1","0","0"
"news","1","51","51","50","0"
