"Date","Clicks","Impressions","Avg. CTR"
"7/8/2026 12:00:00 AM","1","14","7.14"
"7/9/2026 12:00:00 AM","2","23","8.7"
"7/10/2026 12:00:00 AM","1","13","7.69"
"7/11/2026 12:00:00 AM","1","26","3.85"
"7/12/2026 12:00:00 AM","4","33","12.12"
"7/13/2026 12:00:00 AM","2","29","6.9"
"7/14/2026 12:00:00 AM","1","72","1.39"
"7/15/2026 12:00:00 AM","1","114","0.88"
"7/16/2026 12:00:00 AM","6","124","4.84"
"7/17/2026 12:00:00 AM","2","104","1.92"
"7/18/2026 12:00:00 AM","0","50","0"
"7/19/2026 12:00:00 AM","4","67","5.97"
"7/20/2026 12:00:00 AM","3","156","1.92"
"7/21/2026 12:00:00 AM","2","113","1.77"
"7/22/2026 12:00:00 AM","4","123","3.25"
"7/23/2026 12:00:00 AM","2","114","1.75"
"7/24/2026 12:00:00 AM","1","93","1.08"
"7/25/2026 12:00:00 AM","4","106","3.77"
"7/26/2026 12:00:00 AM","4","94","4.26"
"7/27/2026 12:00:00 AM","5","145","3.45"
"7/28/2026 12:00:00 AM","8","125","6.4"
"7/29/2026 12:00:00 AM","1","88","1.14"
"7/30/2026 12:00:00 AM","6","131","4.58"
"7/31/2026 12:00:00 AM","8","124","6.45"
"8/1/2026 12:00:00 AM","3","106","2.83"
"8/2/2026 12:00:00 AM","4","167","2.4"
"8/3/2026 12:00:00 AM","3","220","1.36"
"8/4/2026 12:00:00 AM","3","142","2.11"
"8/5/2026 12:00:00 AM","6","248","2.42"
